study_id,pmid,first_author,year,title,doi,journal,region,study_design,population,sample_size,mean_25ohd_ngml,sd_25ohd,deficiency_pct,assay_method,nos_score,latitude,longitude
1,34221502,Sakyi SA,2021,Vitamin D Deficiency Is Common in Ghana despite Abundance of Sunlight: A Multicentre Comparative Cross-Sectional Study,https://doi.org/10.1155/2021/9987141,J Nutr Metab,Ashanti,cross-sectional,adults,500,18.4,8.2,43.6,ELISA,7,6.75,-1.52
2,33902494,Fondjo LA,2021,High prevalence of vitamin D deficiency among normotensive and hypertensive pregnant women in Ghana,https://doi.org/10.1186/s12884-021-03802-9,BMC Pregnancy Childbirth,Ashanti,cross-sectional,pregnant_women,220,14.8,7.5,81.7,ELISA,7,6.75,-1.52
3,40195344,Ayamah V,2025,Vitamin D probiotics fortification improve vitamin D and total antioxidant capacity levels among pregnant women,https://doi.org/10.1038/s41598-025-87815-w,Sci Rep,Greater Accra,RCT,pregnant_women,126,12.6,6.8,88.1,ELISA,8,5.61,-0.19
4,32069820,Pobee RA,2020,Food Insecurity and Micronutrient Status among Ghanaian Women Planning to Become Pregnant,https://doi.org/10.3390/nu12020470,Nutrients,Eastern,cross-sectional,women_preconception,95,19.2,9.1,46.0,LC-MS/MS,7,6.45,-0.45
5,28423063,Fondjo LA,2017,Vitamin D status and its association with insulin resistance among type 2 diabetics: A case-control study in Ghana,https://doi.org/10.1371/journal.pone.0175388,PLoS One,Ashanti,case-control,t2dm,300,16.2,8.9,70.0,ELISA,7,6.75,-1.52
6,31187085,Gernand AD,2019,Concurrent Micronutrient Deficiencies Are Low and Micronutrient Status Is Not Related to Common Health Indicators in Ghanaian Women,https://doi.org/10.1093/cdn/nzz053,Curr Dev Nutr,Eastern,cross-sectional,women_preconception,120,25.3,10.4,23.0,LC-MS/MS,7,6.45,-0.45
7,30690592,Balogun H,2019,Association of Sunlight Exposure and Consumption of Vitamin D-Rich Foods During Pregnancy with Adverse Birth Outcomes in Ghana,https://doi.org/10.1093/tropej/fmz001,J Trop Pediatr,Greater Accra,cross-sectional,pregnant_women,703,21.5,11.2,38.0,ELISA,7,5.61,-0.19
8,35807945,Alathari BE,2022,Interactions between Vitamin D Genetic Risk and Dietary Factors on Metabolic Disease-Related Outcomes in Ghanaian Adults,https://doi.org/10.3390/nu14132763,Nutrients,Ashanti,cross-sectional,adults,220,22.8,9.6,35.0,ELISA,7,6.75,-1.52
9,38814968,Fondjo LA,2024,"Interplay between vitamin D status, vitamin D receptor gene variants and preeclampsia risk in Ghanaian pregnant women",https://doi.org/10.1371/journal.pone.0303778,PLoS One,Ashanti,case-control,pregnant_women,162,13.9,7.2,84.0,ELISA,7,6.75,-1.52
10,40702130,Arhin-Aidoo F,2025,Association between vitamin D receptor gene variants and the risk of type 2 diabetes mellitus in a Ghanaian population,https://doi.org/10.1038/s41598-025-96731-y,Sci Rep,Ashanti,case-control,t2dm,250,17.5,8.7,58.0,ELISA,7,6.75,-1.52
11,29808168,Fondjo LA,2018,Evaluating Vitamin D Status in Pre- and Postmenopausal Type 2 Diabetics and Its Association with Glucose Homeostasis,https://doi.org/10.1155/2018/9369282,Biomed Res Int,Ashanti,case-control,t2dm,192,15.1,7.8,75.0,ELISA,7,6.75,-1.52
12,38439034,Antwi MH,2024,Investigation of serum level relationship of pro-inflammatory and anti-inflammatory cytokines with vitamin D among healthy Ghanaian population,https://doi.org/10.1186/s13104-024-06721-y,BMC Res Notes,Ashanti,cross-sectional,adults,500,20.1,9.8,41.2,ELISA,7,6.75,-1.52
13,36789398,Dzudzor B,2023,Serum 25-hydroxyvitamin D and hyaluronic acid levels as markers of fibrosis in patients with chronic liver disease in Ghana,https://doi.org/10.1002/hsr2.1101,Health Sci Rep,Greater Accra,cross-sectional,liver_disease,140,24.6,12.3,30.0,ELISA,6,5.61,-0.19
14,35894711,Sakyi SA,2022,"Profiling vitamin D, its mediators and proinflammatory cytokines in rheumatoid arthritis: A case-control study",https://doi.org/10.1002/iid3.676,Immun Inflamm Dis,Ashanti,case-control,rheumatoid_arthritis,138,19.8,8.4,52.0,ELISA,7,6.75,-1.52
15,36248351,Fondjo LA,2022,Assessment of vitamin D levels and adipokines mediated obesity among psychiatric patients on treatment in Ghana,https://doi.org/10.1002/hsr2.858,Health Sci Rep,Ashanti,case-control,psychiatric_patients,120,16.8,7.9,66.0,ELISA,6,6.75,-1.52
16,31636409,Amegah AK,2019,"Sunlight exposure, consumption of vitamin D-rich foods and vulvovaginal candidiasis in an African population",https://doi.org/10.1038/s41430-019-0517-7,Eur J Clin Nutr,Greater Accra,cross-sectional,pregnant_women,793,22.0,10.5,40.0,ELISA,7,5.61,-0.19
17,28118279,Chiang D,2017,25-Hydroxyvitamin D and blood pressure: a plateau effect in adults with African ancestry living at different latitudes,https://doi.org/10.1097/HJH.0000000000001263,J Hypertens,Greater Accra,cross-sectional,adults,500,24.1,8.3,28.0,LC-MS/MS,8,5.61,-0.19
18,25008852,Durazo-Arvizu RA,2014,25-Hydroxyvitamin D in African-origin populations at varying latitudes challenges the construct of a physiologic norm,https://doi.org/10.3945/ajcn.113.066605,Am J Clin Nutr,Greater Accra,cross-sectional,adults,470,31.2,9.5,8.0,LC-MS/MS,8,5.61,-0.19
19,27042745,Kramer H,2016,Association between 25-hydroxyvitamin D and intact parathyroid hormone levels across latitude among adults with African ancestry,https://doi.org/10.4158/EP151079.OR,Endocr Pract,Greater Accra,cross-sectional,adults,500,29.8,9.1,10.0,LC-MS/MS,8,5.61,-0.19
20,28284204,Asare GA,2017,Calcium-Magnesium imbalance implicated in benign prostatic hyperplasia and restoration by a phytotherapeutic agent,https://doi.org/10.1186/s12906-017-1663-x,BMC Complement Altern Med,Greater Accra,case-control,bph_patients,60,22.5,10.8,38.0,ELISA,6,5.61,-0.19
