region,k,n,vdd_events,vdd_prevalence_pct,ci_low,ci_high,classification,note
Ahafo,0,0,,,,,No region-specific VDD prevalence data,Multi-region/sector studies were not assigned to this administrative region.
Ashanti,5,734,477,65.0,61.5,68.4,Region-specific prevalence data available,Administrative-region estimate from the final extraction file.
Bono,0,0,,,,,No region-specific VDD prevalence data,Multi-region/sector studies were not assigned to this administrative region.
Bono East,0,0,,,,,No region-specific VDD prevalence data,Multi-region/sector studies were not assigned to this administrative region.
Central,0,0,,,,,No region-specific VDD prevalence data,Multi-region/sector studies were not assigned to this administrative region.
Eastern,1,95,8,8.4,2.8,14.0,Region-specific prevalence data available,Administrative-region estimate from the final extraction file.
Greater Accra,0,0,,,,,No region-specific VDD prevalence data,Multi-region/sector studies were not assigned to this administrative region.
North East,0,0,,,,,No region-specific VDD prevalence data,Multi-region/sector studies were not assigned to this administrative region.
Northern,0,0,,,,,No region-specific VDD prevalence data,Multi-region/sector studies were not assigned to this administrative region.
Oti,0,0,,,,,No region-specific VDD prevalence data,Multi-region/sector studies were not assigned to this administrative region.
Savannah,0,0,,,,,No region-specific VDD prevalence data,Multi-region/sector studies were not assigned to this administrative region.
Upper East,0,0,,,,,No region-specific VDD prevalence data,Multi-region/sector studies were not assigned to this administrative region.
Upper West,0,0,,,,,No region-specific VDD prevalence data,Multi-region/sector studies were not assigned to this administrative region.
Volta,1,180,147,81.7,76.0,87.3,Region-specific prevalence data available,Administrative-region estimate from the final extraction file.
Western,0,0,,,,,No region-specific VDD prevalence data,Multi-region/sector studies were not assigned to this administrative region.
Western North,1,100,28,28.0,19.2,36.8,Region-specific prevalence data available,Administrative-region estimate from the final extraction file.
